Label (Grouping),Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
Total:,"50,24,279","7,33,391","71,51,502","30,11,524","3,95,38,223","57,73,714","36,05,944","9,89,948","6,89,545","2,15,38,187","1,07,11,908","14,55,271","18,39,106","1,28,12,508","67,85,528","31,90,369","29,37,880","45,05,836","46,57,757","13,62,359","61,77,224","70,29,917","1,00,77,331","57,06,494","29,61,279","61,54,913","10,84,225","19,61,504","31,04,614","13,77,529","92,88,994","21,17,522","2,02,01,249","1,04,39,388","7,79,094","1,17,99,448","39,59,353","42,37,256","1,30,02,700","10,97,379","51,18,425","8,86,667","69,10,840","2,91,45,505","32,71,616","6,43,077","86,31,393","77,05,281","17,93,716","58,93,718","5,76,851","32,85,874"
    Population of one race:,"47,67,326","6,43,867","61,54,696","27,97,949","3,37,77,988","50,66,044","32,73,040","9,13,430","6,33,468","1,79,86,115","99,68,000","10,87,142","16,85,901","1,16,67,524","63,48,802","30,11,086","26,57,373","42,60,996","43,84,380","12,97,649","56,95,323","64,21,050","94,42,016","53,60,773","28,50,547","57,41,742","10,12,950","18,17,341","26,70,605","12,99,787","83,85,500","16,95,276","1,84,33,786","97,27,667","7,37,154","1,11,18,076","34,51,195","37,93,917","1,22,28,216","9,95,585","48,20,049","8,40,002","64,97,942","2,40,11,767","29,92,603","6,06,051","79,25,686","68,68,622","17,08,772","55,34,184","5,33,378","16,50,083"
        White alone,"32,20,452","4,35,392","43,22,337","21,14,512","1,62,96,122","40,82,927","23,95,128","5,97,763","2,73,194","1,24,22,961","55,55,483","3,33,261","15,10,360","78,68,227","52,41,795","26,94,521","22,22,462","37,11,254","26,57,652","12,37,041","30,07,874","48,96,037","74,44,974","44,23,146","16,58,893","47,40,335","9,16,524","15,38,052","15,88,463","12,16,203","51,12,280","10,78,937","1,11,43,349","64,88,459","6,45,938","90,80,688","25,14,885","31,69,096","97,50,687","7,82,920","32,43,442","7,15,336","49,90,938","1,46,09,365","25,73,413","5,77,751","52,08,856","51,30,920","16,10,749","47,37,545","4,88,374","5,60,592"
        Black or African American alone,"12,96,162","21,898","3,39,150","4,53,783","22,37,044","2,34,828","3,88,675","2,18,899","2,85,810","32,46,381","33,20,513","23,417","15,726","18,08,271","6,48,513","1,31,972","1,68,809","3,62,417","14,64,023","25,752","18,20,472","4,94,029","13,76,579","3,98,434","10,84,481","6,99,840","5,484","96,535","3,04,739","20,127","12,19,770","45,904","29,86,172","21,40,217","26,783","14,78,781","2,89,961","82,655","14,23,169","62,168","12,80,531","17,842","10,92,948","35,52,997","40,058","9,034","16,07,581","3,07,565","65,813","3,76,256","5,232","2,28,711"
        American Indian and Alaska Native alone,"33,625","1,11,575","3,19,512","27,177","6,31,016","74,129","16,051","5,148","3,193","94,795","50,618","4,370","25,621","96,498","26,086","14,486","30,995","12,801","31,657","7,885","31,845","24,018","61,261","68,641","16,450","30,518","67,612","23,102","43,932","3,031","51,186","2,12,241","1,49,690","1,30,032","38,914","30,720","3,32,791","62,993","31,052","7,385","24,303","77,748","28,044","2,78,948","41,644","2,289","40,007","1,21,468","3,706","60,428","13,898","17,870"
        Asian alone,"76,660","44,032","2,57,430","51,839","60,85,947","1,99,827","1,72,455","42,699","33,545","6,43,682","4,79,028","5,41,902","26,836","7,54,878","1,67,959","75,629","86,273","74,426","86,438","16,798","4,20,944","5,07,934","3,34,300","2,99,190","32,709","1,33,377","8,300","52,951","2,72,703","35,871","9,50,090","37,469","19,33,127","3,43,051","13,213","2,98,509","90,949","1,94,538","5,10,501","38,961","90,466","13,476","1,35,615","15,85,480","80,438","11,549","6,15,436","7,30,596","15,109","1,75,702","5,212","4,001"
        Native Hawaiian and Other Pacific Islander alone,"2,984","12,698","16,397","14,533","1,57,263","10,287","1,598",412,432,"14,014","7,299","1,57,445","3,726","4,501","3,137","5,758","3,412","3,681","1,911",443,"3,247","2,301","3,051","2,918","1,154","9,730",941,"1,534","25,011",453,"3,533","2,093","10,815","8,518",924,"5,034","8,608","19,204","4,276",536,"3,431",543,"4,115","33,611","36,930",181,"7,156","64,933",476,"2,199",579,593
        Some Other Race alone,"1,37,443","18,272","8,99,870","1,36,105","83,70,596","4,64,046","2,99,133","48,509","37,294","15,64,282","5,55,059","26,747","1,03,632","11,35,149","2,61,312","88,720","1,45,422","96,417","1,42,699","9,730","4,10,941","4,96,731","2,21,851","1,68,444","56,860","1,27,942","14,089","1,05,167","4,35,757","24,102","10,48,641","3,18,632","22,10,633","6,17,390","11,382","2,24,344","2,14,001","2,65,431","5,08,531","1,03,615","1,77,876","15,057","2,46,282","39,51,366","2,20,120","5,247","4,46,650","5,13,140","12,919","1,82,054","20,083","8,38,316"
    Population of two or more races:,"2,56,953","89,524","9,96,806","2,13,575","57,60,235","7,07,670","3,32,904","76,518","56,077","35,52,072","7,43,908","3,68,129","1,53,205","11,44,984","4,36,726","1,79,283","2,80,507","2,44,840","2,73,377","64,710","4,81,901","6,08,867","6,35,315","3,45,721","1,10,732","4,13,171","71,275","1,44,163","4,34,009","77,742","9,03,494","4,22,246","17,67,463","7,11,721","41,940","6,81,372","5,08,158","4,43,339","7,74,484","1,01,794","2,98,376","46,665","4,12,898","51,33,738","2,79,013","37,026","7,05,707","8,36,659","84,944","3,59,534","43,473","16,35,791"
        Population of two races:,"2,43,473","81,221","9,48,897","2,03,299","53,80,042","6,65,645","3,13,228","71,461","51,147","34,28,042","6,98,142","2,31,504","1,45,443","10,87,260","4,14,856","1,70,730","2,65,719","2,32,500","2,55,214","61,608","4,44,556","5,71,923","5,99,811","3,24,275","1,03,917","3,90,923","67,557","1,36,456","4,00,557","73,876","8,52,673","4,05,338","16,49,229","6,64,545","39,726","6,38,388","4,76,591","4,12,968","7,26,012","93,292","2,80,801","44,190","3,91,747","49,66,139","2,61,893","35,154","6,54,932","7,70,116","80,877","3,41,196","41,250","15,39,017"
